,open,high,low,close,adjclose,volume,ticker,future
1997-06-16,5.5820446696759e-05,4.400414225609866e-05,7.172824298166464e-05,5.01644586601679e-05,5.01644586601679e-05,0.004102386317674929,AMZN,0.00030688860196434746
1997-06-17,5.4351509692773835e-05,4.253735989589286e-05,5.230183243989993e-05,3.098394425414693e-05,3.098394425414693e-05,0.0406309585716762,AMZN,0.00029803604646316264
1997-06-18,3.2317118414867236e-05,2.4935702993453398e-05,5.3796182236248496e-05,3.2459347657798256e-05,3.2459347657798256e-05,0.019044317328248687,AMZN,0.00028328174226809554
1997-06-19,2.9379177163271146e-05,2.3468887060751364e-05,5.3796182236248496e-05,3.2459347657798256e-05,3.2459347657798256e-05,0.004969087652394986,AMZN,0.0002891834909619778
1997-06-20,3.525502604465053e-05,2.9336117219063264e-05,5.3796182236248496e-05,3.688562540839067e-05,3.688562540839067e-05,0.027930895013578323,AMZN,0.0002596749501114821
1997-06-23,3.8192933674433764e-05,2.6402485353659196e-05,4.7818817253545906e-05,2.9508507080676415e-05,2.9508507080676415e-05,0.0053966603108568795,AMZN,0.0002301664092609865
1997-06-24,2.7910240159285927e-05,2.200207112804933e-05,4.7818817253545906e-05,3.2459347657798256e-05,3.2459347657798256e-05,0.0025423239151788303,AMZN,0.00024196983910911246
1997-06-25,3.3786055418852455e-05,2.200207112804933e-05,5.0807516846242985e-05,3.2459347657798256e-05,3.2459347657798256e-05,0.015589068007164732,AMZN,0.00022131385375980168
1997-06-26,3.2317118414867236e-05,2.0535288767843532e-05,5.529053203259701e-05,3.2459347657798256e-05,3.2459347657798256e-05,0.0260241520771942,AMZN,0.0002537732689572384
1997-06-27,3.084814778906922e-05,1.9068472835141498e-05,4.7818817253545906e-05,2.655766650355452e-05,2.655766650355452e-05,0.006748714393020166,AMZN,0.00026410122786207457
1997-06-30,2.9379177163271146e-05,4.253735989589286e-05,4.7818817253545906e-05,4.131190315898308e-05,4.131190315898308e-05,0.021759981510371527,AMZN,0.00022721560245368396
1997-07-01,3.8192933674433764e-05,2.6402485353659196e-05,5.678484762625395e-05,3.3934784831268826e-05,3.3934784831268826e-05,0.00775408794129543,AMZN,0.00022721560245368396
1997-07-02,3.084814778906922e-05,4.107054396319083e-05,5.678484762625395e-05,5.4590736410760365e-05,5.4590736410760365e-05,0.032691974345640494,AMZN,0.000215412172605558
1997-07-03,5.4351509692773835e-05,0.00013201242676829592,8.069427335437269e-05,0.00014606716576954983,0.00014606716576954983,0.11642687929739413,AMZN,0.00020360874275743204
1997-07-07,0.00012045468352649353,0.00016134851041486295,0.00014943385094603177,0.00017114939509963378,0.00017114939509963378,0.072860692205466,AMZN,0.00018295282494775974
1997-07-08,0.00017921307147484862,0.00024935679492706027,0.00020920739816498285,0.0002567240757645411,0.0002567240757645411,0.14473912289824928,AMZN,0.00021836304695249914
1997-07-09,0.00025266099757212,0.00026402488710908814,0.0002749582419612533,0.00026262582445842324,0.00026262582445842324,0.07487143930201653,AMZN,0.00021836304695249914
1997-07-10,0.0002614747540832826,0.0003168298578164064,0.0002928903027066695,0.0003304953941209609,0.0003304953941209609,0.08247529901196049,AMZN,0.00020360874275743204
1997-07-11,0.0003143572931502583,0.00030216176563437866,0.0002570261812158372,0.0002537732689572384,0.0002537732689572384,0.0967238689547582,AMZN,0.00020655961710437318
1997-07-14,0.0002585368800753122,0.00024935679492706027,0.00023012809009771294,0.0002095104914513142,0.0002095104914513142,0.03964869705899347,AMZN,0.00023311728360792764
1997-07-15,0.00020565434100833647,0.0002904273724627472,0.000236105489283107,0.0002950851721162215,0.0002950851721162215,0.08462471832206622,AMZN,0.00026852750561266704
1997-07-16,0.00029379190611996265,0.0002948277866883571,0.00028392427233396133,0.0002655766312657259,0.0002655766312657259,0.0244294216213093,AMZN,0.00026115035351513343
1997-07-17,0.00026441269533487876,0.00025229042679246434,0.00024208282006311802,0.00023311728360792764,0.00023311728360792764,0.025827699774657657,AMZN,0.00027738006111385186
1997-07-18,0.00022034391277906556,0.0002170871129875854,0.00024208282006311802,0.000215412172605558,0.000215412172605558,0.0028196683422892473,AMZN,0.0002670521022090157
1997-07-21,0.00021740597152746953,0.00021121991640176975,0.000239094120470421,0.0002227893247030915,0.0002227893247030915,0.000843589299127521,AMZN,0.00027147837995960807
1997-07-22,0.0002144680975194991,0.00020828628453636568,0.00021518472894499388,0.0002095104914513142,0.0002095104914513142,0.010365747963251865,AMZN,0.0002655766312657259
1997-07-23,0.00022034391277906556,0.00024935679492706027,0.00024806015084312904,0.0002537732689572384,0.0002537732689572384,0.026694401109377708,AMZN,0.00032754451977401976
1997-07-24,0.00025266099757212,0.0002434895983412446,0.0002600148808085342,0.0002449207134560536,0.0002449207134560536,0.007026058820130583,AMZN,0.00031279028311859114
1997-07-25,0.00022915766929022818,0.00022588794143880514,0.0002600148808085342,0.00023606815795486878,0.00023606815795486878,0.0012827179753856829,AMZN,0.0004544311711375486
1997-07-28,0.00023209561054182432,0.00026695845182949973,0.0002600148808085342,0.00026262582445842324,0.00026262582445842324,0.020095914947709022,AMZN,0.0005223007408000862
1997-07-29,0.00027028851059444524,0.000296294569048563,0.0002928903027066695,0.00030688860196434746,0.00030688860196434746,0.04167100017334027,AMZN,0.0005400058518024558
1997-07-30,0.00030848147789069185,0.0002977613514087688,0.0003197883938247936,0.00029803604646316264,0.00029803604646316264,0.01955278211128445,AMZN,0.0004986939486434727
1997-07-31,0.0002908539648683666,0.00027869291214612353,0.0002928903027066695,0.00028328174226809554,0.00028328174226809554,0.00931415034379153,AMZN,0.0006491873921636149
1997-08-01,0.00026441269533487876,0.00027282571556030787,0.00026898091118124226,0.0002891834909619778,0.0002891834909619778,0.029860749985554984,AMZN,0.0004809888376411031
1997-08-04,0.0002732264518460414,0.0002713588660551096,0.00028392427233396133,0.0002596749501114821,0.0002596749501114821,0.02103195238920668,AMZN,0.0005547601559975229
